Country Code,Province Code,Holiday Name,Type of Holiday,Date,Start,End
AL,,Dita e Nënë Terezës,public,2018-10-19 00:00:00,2018-10-18T22:00:00.000Z,2018-10-19T22:00:00.000Z
AL,,Dita e Alfabetit,observance,2018-11-22 00:00:00,2018-11-21T23:00:00.000Z,2018-11-22T23:00:00.000Z
AL,,Dita e Pavarësisë,public,2018-11-28 00:00:00,2018-11-27T23:00:00.000Z,2018-11-28T23:00:00.000Z
AL,,Dita e Çlirimit,public,2018-11-29 00:00:00,2018-11-28T23:00:00.000Z,2018-11-29T23:00:00.000Z
AL,,Dita Kombëtare e Rinisë,public,2018-12-08 00:00:00,2018-12-07T23:00:00.000Z,2018-12-08T23:00:00.000Z
AL,,Nata e Krishtlindjes,bank,2018-12-24 00:00:00,2018-12-23T23:00:00.000Z,2018-12-24T23:00:00.000Z
AL,,Krishtlindja,public,2018-12-25 00:00:00,2018-12-24T23:00:00.000Z,2018-12-25T23:00:00.000Z
AL,,Viti i Ri,public,2019-01-01 00:00:00,2018-12-31T23:00:00.000Z,2019-01-01T23:00:00.000Z
AL,,Festa e Vitit të Ri,public,2019-01-02 00:00:00,2019-01-01T23:00:00.000Z,2019-01-02T23:00:00.000Z
AL,,Dita e Besëlidhjes së Lezhës,observance,2019-03-02 00:00:00,2019-03-01T23:00:00.000Z,2019-03-02T23:00:00.000Z
AL,,Dita e Mësuesit,observance,2019-03-07 00:00:00,2019-03-06T23:00:00.000Z,2019-03-07T23:00:00.000Z
AL,,Dita e Nënës,observance,2019-03-08 00:00:00,2019-03-07T23:00:00.000Z,2019-03-08T23:00:00.000Z
AL,,Dita e Verës,public,2019-03-14 00:00:00,2019-03-13T23:00:00.000Z,2019-03-14T23:00:00.000Z
AL,,Dita e Sulltan Nevruzit,public,2019-03-22 00:00:00,2019-03-21T23:00:00.000Z,2019-03-22T23:00:00.000Z
AL,,Dita e Gënjeshtrave,observance,2019-04-01 00:00:00,2019-03-31T22:00:00.000Z,2019-04-01T22:00:00.000Z
AL,,Pashkët Katolike,public,2019-04-21 00:00:00,2019-04-20T22:00:00.000Z,2019-04-21T22:00:00.000Z
AL,,Pashkët Katolike,public,2019-04-22 00:00:00,2019-04-21T22:00:00.000Z,2019-04-22T22:00:00.000Z
AL,,Pashkët Ortodokse,public,2019-04-28 00:00:00,2019-04-27T22:00:00.000Z,2019-04-28T22:00:00.000Z
AL,,Pashkët Ortodokse,public,2019-04-29 00:00:00,2019-04-28T22:00:00.000Z,2019-04-29T22:00:00.000Z
AL,,Dita Ndërkombëtare e Punonjësve,public,2019-05-01 00:00:00,2019-04-30T22:00:00.000Z,2019-05-01T22:00:00.000Z
AL,,Dita Ndërkombëtare e Fëmijëve,observance,2019-06-01 00:00:00,2019-05-31T22:00:00.000Z,2019-06-01T22:00:00.000Z
AL,,Fitër Bajrami,public,2019-06-04 00:00:00 -0600,2019-06-03T16:00:00.000Z,2019-06-04T16:00:00.000Z
AL,,Kurban Bajrami,public,2019-08-11 00:00:00 -0600,2019-08-10T16:00:00.000Z,2019-08-11T16:00:00.000Z
AL,,Dita e Nënë Terezës,public,2019-10-19 00:00:00,2019-10-18T22:00:00.000Z,2019-10-19T22:00:00.000Z
